RANK,"FEMALE NAME","NUMBER OF FEMALES"
323,Ariah,1007
324,Samara,1007
325,Myla,1000
326,Brinley,999
327,Cassidy,999
328,Maci,999
329,Aspen,992
330,Allie,990
331,Keira,987
332,Kaia,984
333,Makenna,974
334,Heaven,962
335,Joy,961
336,Amanda,958
337,Lia,950
338,Madilyn,949
339,Laura,948
340,Gracelyn,944
341,Evelynn,942
342,Lexi,942
343,Haley,941
344,Miranda,938
345,Felicity,935
346,Kaitlyn,934
347,Daniella,929
348,Evie,926
349,Jacqueline,925
350,Angel,920
351,Danielle,912
352,Ainsley,901
353,Dylan,892
354,Kiara,887
355,Millie,887
356,Jordan,886
357,Rylie,882
358,Maddison,878
359,Alicia,867
360,Maeve,865
361,Margot,859
362,Kylee,857
363,Phoenix,856
364,Heidi,853
365,Zuri,849
366,Madeleine,847
367,Alondra,845
368,Lana,844
369,Gracelynn,841
370,Kenzie,840
371,Miracle,837
372,Shelby,835
373,Adrianna,831
374,Elle,831
375,Bianca,830
376,Addilyn,823
377,Esmeralda,820
378,Kira,820
379,Veronica,820
380,Gwendolyn,817
381,Chelsea,814
382,Skyler,814
383,Alison,813
384,Magnolia,813
385,Daphne,812
386,Everleigh,806
387,Jenna,806
388,Kyla,805
389,Braelynn,800
390,Harlow,797
391,Annalise,794
392,Mikayla,794
393,Dahlia,793
394,Maliyah,789
395,Kayleigh,787
396,Averie,786
397,Kelsey,786
398,Scarlet,784
399,Luciana,782
400,Gia,780
401,Nadia,780
402,Amber,779
403,Christina,777
404,Erin,777
405,Kamryn,777
406,Yaretzi,777
407,Jimena,776
408,Katie,776
409,Carmen,774
410,Ryan,773
411,Viviana,771
412,Alexia,768
413,Anaya,767
414,Serena,765
415,Katelyn,764
416,Ophelia,763
417,Regina,762
418,Helen,760
419,Remington,758
420,Camryn,754
421,Royalty,752
422,Cadence,747
423,Amari,746
424,Jada,746
425,Kathryn,746
426,Skye,746
427,Ariyah,744
428,Emely,743
429,Cheyenne,739
430,Saylor,739
431,Aylin,738
432,Francesca,738
433,Sabrina,736
434,Kendra,735
435,Fernanda,733
436,Eve,729
437,Mckinley,728
438,Frances,726
439,Sarai,720
440,Carolina,719
441,Nylah,716
442,Kennedi,715
443,Tatum,711
444,Winter,708
445,Zariah,708
446,Lennon,707
447,Raven,707
448,Alani,705
449,Leslie,702
450,Mabel,702
451,Sierra,702
452,Abby,696
453,Willa,696
454,April,693
455,Selah,693
456,Carly,691
457,Rosemary,691
458,Jolene,690
459,Madelynn,690
460,Aviana,688
461,Lorelei,683
462,Renata,683
463,Briana,679
464,Celeste,674
465,Wren,672
466,Charleigh,670
467,Annabella,669
468,Leighton,667
469,Braelyn,663
470,Jayleen,662
471,Ashlyn,660
472,Jazlyn,660
473,Mira,660
474,Oakley,656
475,Malaysia,654
476,Edith,653
477,Hattie,651
478,Avianna,648
479,Emmalyn,647
480,Kensley,647
481,Maryam,647
482,Sylvia,644
483,Marlee,642
484,Macie,641
485,Cataleya,639
486,Demi,639
487,Maia,639
488,Allyson,638
489,Bristol,638
490,Lilith,636
491,Itzel,635
492,Kaydence,634
493,Melany,632
494,Holly,630
495,Nia,630
496,Nayeli,629
497,Liana,627
498,Meredith,627
499,Megan,626
500,Bethany,624
501,Justice,623
502,Janelle,621
503,Alejandra,617
504,Ashlynn,617
505,Elianna,617
506,Adelina,616
507,Elisa,616
508,Myra,615
509,Aleah,613
510,Lainey,613
511,Blair,612
512,Kassidy,612
513,Charley,610
514,Virginia,610
515,Kara,608
516,Helena,604
517,Michaela,604
518,Sasha,602
519,Julie,601
520,Carter,599
521,Henley,598
522,Matilda,598
523,Kehlani,597
524,Maisie,595
525,Hallie,594
526,Jazmin,590
527,Priscilla,590
528,Cecelia,582
529,Colette,582
530,Marilyn,582
531,Danna,580
532,Elliott,580
533,Baylee,578
534,Ivanna,577
535,Alayah,575
536,Cameron,575
537,Celine,575
538,Hanna,574
539,Imani,573
540,Angelica,571
541,Emelia,568
542,Kalani,568
543,Addyson,567
544,Macy,565
545,Alanna,564
546,Lorelai,564
547,Karina,563
548,Aleena,561
549,Johanna,561
550,Leona,561
551,Aisha,560
552,Mallory,558
553,Kynlee,557
554,Madilynn,555
555,Mariam,554
556,Karla,553
557,Karen,552
558,Beatrice,548
559,Skyla,547
560,Dayana,543
561,Gloria,541
562,Milani,538
563,Savanna,535
564,Karsyn,533
565,Giuliana,532
566,Rory,532
567,Lauryn,531
568,Liberty,531
569,Galilea,530
570,Charli,529
571,Aubrie,527
572,Brylee,525
573,Kyleigh,525
574,Jillian,524
575,Anne,522
576,Azalea,520
577,Dallas,520
578,Haylee,520
579,Jayda,519
580,Avah,517
581,Tiffany,517
582,Shiloh,516
583,Bailee,515
584,Esme,513
585,Jazmine,512
586,Coraline,511
587,Madisyn,511
588,Elaine,507
589,Kyra,506
590,Lilian,506
591,Irene,505
592,Kaliyah,505
593,Octavia,505
594,Dorothy,504
595,Kora,503
596,Kelly,502
597,Laurel,502
598,Remy,502
599,Lacey,501
600,Adley,500
601,Anika,500
602,Sutton,500
603,Janiyah,499
604,Kimber,498
605,Rebekah,498
606,Cassandra,497
607,Julieta,497
608,Sloan,497
609,Amalia,494
610,Collins,494
611,Elliot,494
612,Jamie,494
613,Jemma,494
614,Emmy,493
615,Hayley,493
616,Jaylah,486
617,Melina,486
618,Leyla,485
619,Kailani,484
620,Anahi,482
621,Jaliyah,481
622,Harlee,479
623,Saige,476
624,Wynter,475
625,Alessia,473
626,Monica,472
627,Anya,471
628,Emberly,469
629,Antonella,468
630,Ivory,467
631,Khaleesi,467
632,Emory,465
633,Greta,465
634,Alena,464
635,Maren,464
636,Cynthia,461
637,Addisyn,460
638,Alaia,460
639,Alia,460
640,Mae,459
641,Angie,458
642,Ariya,458
643,Lylah,458
644,Aileen,455
645,Alma,455
646,Crystal,455
647,Jayde,455
648,Kinslee,455
649,Zahra,455
650,Zelda,455
651,Katalina,454
652,Reyna,454
653,Siena,454
654,Kailey,453
655,Marie,453
656,Pearl,453
657,Jessie,450
658,Tiana,450
659,Amirah,449
660,Madalyn,449
661,Alaya,448
662,Lilyana,446
663,Julissa,442
664,Armani,440
665,Lennox,440
666,Lillie,440
667,Rosa,439
668,Laney,438
669,Mara,438
670,Jolie,437
671,Roselyn,437
672,Joelle,436
673,Kaylani,435
674,Liv,435
675,Aurelia,434
676,Bridget,434
677,Oaklyn,434
678,Clarissa,431
679,Marissa,430
680,Rosie,429
681,Elyse,428
682,Monroe,427
683,Kori,426
684,Aliza,425
685,Poppy,425
686,Elsa,424
687,Emmie,424
688,Amelie,423
689,Aitana,422
690,Eileen,421
691,Chaya,420
692,Braylee,419
693,Milana,418
694,Royal,417
695,Addilynn,416
696,Frida,416
697,Bonnie,414
698,Amora,413
699,Stevie,412
700,Emerie,410
701,Malaya,410
702,Mina,410
703,Tatiana,410
704,Reign,407
705,Annika,406
706,Zaylee,406
707,Kenia,405
708,Linda,405
709,Kenna,404
710,Faye,403
711,Jaelyn,402
712,Kadence,402
713,Reina,402
714,Astrid,401
715,Brittany,401
716,Marina,401
717,Mikaela,401
718,Kaylie,399
719,Bria,398
720,Briar,397
721,Lyra,396
722,Teresa,396
723,Hadassah,394
724,Lilianna,394
725,Noa,392
726,Guadalupe,391
727,Rayna,391
728,Chanel,390
729,Laylah,389
730,Zariyah,389
731,Meadow,388
732,Aubrielle,387
733,Aniya,385
734,Livia,385
735,Ellen,383
736,Elora,382
737,Clementine,381
738,Hunter,381
739,Leanna,381
740,Milan,381
741,Amiya,380
742,Ellis,380
743,Princess,379
744,Nathalie,378
745,Nola,378
746,Tenley,375
747,Lina,374
748,Martha,374
749,Simone,374
750,Louisa,372
751,Sariah,372
752,Marianna,371
753,Emmeline,369
754,Noemi,369
755,Belen,368
756,Kenley,368
757,Myah,368
758,Erika,365
759,Everlee,364
760,Lara,364
761,Maleah,364
762,Amani,362
763,Ansley,362
764,Salma,362
765,Dulce,358
766,Elisabeth,358
767,Jaelynn,358
768,Kiera,358
769,Nala,358
770,Penny,357
771,Mercy,356
772,Averi,355
773,Deborah,355
774,Natasha,355
775,Raina,354
776,Ariadne,353
777,Yareli,353
778,Zaria,353
779,Hana,352
780,Kairi,352
781,Aya,350
782,Lexie,350
783,Ryann,350
784,Thalia,349
785,Christine,348
786,Estella,348
787,Karter,348
788,Annabel,347
789,Keyla,347
790,Tori,346
791,Adele,345
792,Landry,345
793,Estelle,344
794,Miah,344
795,Perla,344
796,Rylan,344
797,Lailah,343
798,Rivka,342
799,Angelique,341
800,Avalynn,341
801,Romina,341
802,Mavis,340
803,Scarlette,340
804,Ari,338
805,Louise,338
806,Jaycee,337
807,Jaylene,337
808,Kai,337
809,Belle,336
810,Lea,336
811,Zaniyah,336
812,Ayleen,335
813,Calliope,335
814,Nalani,335
815,Dalary,334
816,Sky,334
817,Isabela,333
818,Joselyn,333
819,Kaelyn,333
820,Giovanna,331
821,Jewel,331
822,Paola,331
823,Dream,330
824,Karlee,330
825,Madalynn,330
826,Aubriella,328
827,Tinley,328
828,Whitney,328
829,Aliana,327
830,Azariah,327
